INSTANCE NAME;EQUIVALENCE CLASS;EQUIVALENCE CLASS DEFINITION;HYPERNYM;HYPERNYM DEFINITION;TOP LEVEL CATEGORY
Data Scientist, StubHub;Data Scientist;{Analytical} Data architect {concerned with finding patterns in raw data};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
Senior data intern, Simply Hired;Data Scientist;{Analytical} Data architect {concerned with finding patterns in raw data};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
Sr. Data Scientist, AOL;Data Scientist;{Analytical} Data architect {concerned with finding patterns in raw data};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
Database Analyst, SAP Labs;Database Management;{Database-focused} Data architect {optimizing and analyzing databases};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
Interaction Designer, Elementum;Interaction Design;{Design-oriented} HCI {focused on the part of direct interaction};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
Interaction Designer, Google;Interaction Design;{Design-oriented} HCI {focused on the part of direct interaction};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
Interaction Designer, ISKME;Interaction Design;{Design-oriented} HCI {focused on the part of direct interaction};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
Voice Interface Designer, Nuance Communications;Interaction Design;{Design-oriented} HCI {focused on the part of direct interaction};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
Graduate Intern, User Experience Design, Target Technology Innovation Center;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Design Intern, Practice Fusion;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Design Intern, Sony Network Entertainment;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Designer, Google;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Designer, Oracle;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Designer, Salesforce;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Designer, The Climate Corporation;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Designer, Workday;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Interaction Designer, Apple;User Experience Design;{Design-oriented} HCI {focus on all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User experience research intern, Autodesk;User Experience Research;{Research-oriented} HCI {exploring all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience research intern, Citrix;User Experience Research;{Research-oriented} HCI {exploring all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Researcher, Google;User Experience Research;{Research-oriented} HCI {exploring all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
User Experience Researcher, Salesforce;User Experience Research;{Research-oriented} HCI {exploring all parts of user experience - including physical};HCI;{HCI-centric} IT-specialist {exploring the interactions between human and computer};Information Technology
Archives Intern, The Kitchen Sisters;Information Architecture;{General} Information Architect {in the field of structuring and organizing information};Information Architecture;{Structure-centric} Information Specialist {focused on defining information organization};Information Technology
Digital Archives Intern, Bancroft Library, UC Berkeley;Information Architecture;{General} Information Architect {in the field of structuring and organizing information};Information Architecture;{Structure-centric} Information Specialist {focused on defining information organization};Information Technology
Info Architect Intern, Wiser;Information Architecture;{General} Information Architect {in the field of structuring and organizing information};Information Architecture;{Structure-centric} Information Specialist {focused on defining information organization};Information Technology
Museum Informatics Summer Internship, UC Berkeley;Information Architecture;{General} Information Architect {in the field of structuring and organizing information};Information Architecture;{Structure-centric} Information Specialist {focused on defining information organization};Information Technology
Information Security Engineer, Autodesk;Information Security;{Security-focused} Information Architect {focused specifically on security implications};Information Architecture;{Structure-centric} Information Specialist {focused on defining information organization};Information Technology
Information Security Intern, Autodesk;Information Security;{Security-focused} Information Architect {focused specifically on security implications};Information Architecture;{Structure-centric} Information Specialist {focused on defining information organization};Information Technology
Front-End Web Developer Intern, LinkedIn;Front-End Web Development;{Front-End web} Software Engineer {implemeting UI design and interactions on websites};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
FrontEnd Dev/User Experience Designer, ComfortLabs;Front-End Web Development;{Front-End web} Software Engineer {implemeting UI design and interactions on websites};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Director of Compliances and IS, Southern California Institute of Technology;Legal Informatics;{Leading} Legal manager {focused on compliance towards defined standards};Legal Management;{Legal} Management {focussing on legal matters};Management
Sr. Director, Product Development, Integral Ad Science;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{Product} Management {focusing on managing the product development process};Management
VP, Product Management, Integral Ad Science;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{Product} Management {focusing on managing the product development process};Management
VP, Marketing Database Decision Strategy Manager, Wells Fargo Bank;Marketing Analyst;{Leading} Manager {analysing market for new marketing opportunities};Strategy Management;{Strategy} Management {making future decisions based on analysis};Management
CTO, AdsNative;CTO;{Leading} Technical manager {in charge of top level technical decisions at a company};Technical Management;{Technical} Management {in charge of technical decision making};Management
CTO, MobileWorks Inc.;CTO;{Leading} Technical manager {in charge of top level technical decisions at a company};Technical Management;{Technical} Management {in charge of technical decision making};Management
Associate Product Manager, Workday;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Intern- Product Management, Contant Contact;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product Management Intern - Engineering Ecosystems, VMware;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product Management Intern, Akamai Technologies;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product Management Intern, Teradata Aster;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product Manager, Apple;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product manager, hypothes.is;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product Manager, Oracle;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Senior Product Manager, Amazon;Product Management;{All levels of} Product Manager {as described by job title};Product Management;{General} Product Manager {keeping track of details relevant for product development};Product Management
Product Specialist, Google;Product Specialist;{Specialized} Product Manager {with expert knowledge about certain product};Product Specialist;{Specialized} Product Manager {with expert knowledge about certain product};Product Management
Product Specialist, Market Metrix;Product Specialist;{Specialized} Product Manager {with expert knowledge about certain product};Product Specialist;{Specialized} Product Manager {with expert knowledge about certain product};Product Management
Solutions Architect, Akamai;Solution Architect;{Specialized} Product Specialist {with expert knowledge on solution architecture};Product Specialist;{Specialized} Product Manager {with expert knowledge about certain product};Product Management
Project Manager, Pop Up Archive;Project Management;{General} Project Manager {keeping track of project work and deadlines};Project Management;{General} Project Manager {keeping track of project work and deadlines};Project Management
Project Manager, Samsung Life Insurance;Project Management;{General} Project Manager {keeping track of project work and deadlines};Project Management;{General} Project Manager {keeping track of project work and deadlines};Project Management
Technical Program Manager Intern, Lab126;Technical Program Management;{Technical} Project Manager {working on coordinating several projects as one};Technical Project Management;{Technical} Project Manager {keeping track of technical requirements and milestones of project};Project Management
Technical Project Manager Intern, Google;Technical Project Management;{Technical} Project Manager {keeping track of technical requirements and milestones of project};Technical Project Management;{Technical} Project Manager {keeping track of technical requirements and milestones of project};Project Management
Open Source Advocate, Twitter;Open Source Advocate;{Hired} Spokesperson {advocating use and development of open source software};Spokesperson;{Public} PR person {being the face of the company in some defined aspect;Public Relations
Intern, Productivity QA, Apple;Productivity Quality Assurance;{Productivity} Quality Assurance {working with quality assurance of products with the fields of productivity};Quality Assurance;{General} Quality Assurance {verifies that products meet specification and requirements};Quality Assurance
Design Researcher, Goto Media;R&D;{Project-oriented} Researcher {working towards developing concrete products};R&D;{Project-oriented} Researcher {working towards developing concrete products};Research
R&D Intern, LG Electronics;R&D;{Project-oriented} Researcher {working towards developing concrete products};R&D;{Project-oriented} Researcher {working towards developing concrete products};Research
Usability Researcher, Zoosk;R&D;{Project-oriented} Researcher {working towards developing concrete products};R&D;{Project-oriented} Researcher {working towards developing concrete products};Research
Researcher, Progressive Technology Project;Research;{Academic} Researcher {working within company, but not with concrete products as outcome};Research;{Academic} Researcher {working within company, but not with concrete products as outcome};Research
Researcher, Simply Hired;Research;{Academic} Researcher {working within company, but not with concrete products as outcome};Research;{Academic} Researcher {working within company, but not with concrete products as outcome};Research
